;Date;zone;Energy Demand;Maximum Demand;ENS;Timestamp;longitud;latitud;ENS_;('Regression',);('Classification',)
228;2008/08/16;Antioquia;26588263.29;7724000;0;1218844800;-75.52001953;6.817352823;0;0;0
229;2008/08/17;Antioquia;22724239.19;7009000;0;1218931200;-75.52001953;6.817352823;0;0;0
230;2008/08/18;Antioquia;22637044.86;7419000;0;1219017600;-75.52001953;6.817352823;0;0.273;0.1
231;2008/08/19;Antioquia;27455959.01;7950000;0;1219104000;-75.52001953;6.817352823;0;3.683;0
232;2008/08/20;Antioquia;28503130.31;8540000;0;1219190400;-75.52001953;6.817352823;0;0;0
233;2008/08/21;Antioquia;28671179.51;8296000;0;1219276800;-75.52001953;6.817352823;0;3.683;0
234;2008/08/22;Antioquia;28694628.66;8265000;0;1219363200;-75.52001953;6.817352823;0;0;0
235;2008/08/23;Antioquia;27032637.74;7794000;0;1219449600;-75.52001953;6.817352823;0;0;0.1
236;2008/08/24;Antioquia;23644299.86;7246000;0;1219536000;-75.52001953;6.817352823;0;9.6;0
237;2008/08/25;Antioquia;28142074.35;8359000;0;1219622400;-75.52001953;6.817352823;0;0;0.1
238;2008/08/26;Antioquia;28790878.94;8395000;0;1219708800;-75.52001953;6.817352823;0;0;0
239;2008/08/27;Antioquia;28929408.02;8508000;0;1219795200;-75.52001953;6.817352823;0;0.195;0
240;2008/08/28;Antioquia;28914782.07;8515000;0;1219881600;-75.52001953;6.817352823;0;0.195;0.1
241;2008/08/29;Antioquia;28892479.48;8383000;0;1219968000;-75.52001953;6.817352823;0;0;0
242;2008/08/30;Antioquia;26630438.37;7905000;0;1220054400;-75.52001953;6.817352823;0;2.728;0
243;2008/08/31;Antioquia;23467514.69;7457000;0;1220140800;-75.52001953;6.817352823;0;0;0
244;2008/09/01;Antioquia;28403192.28;8441000;0;1220227200;-75.52001953;6.817352823;0;0;0
245;2008/09/02;Antioquia;29222841.02;8476000;0;1220313600;-75.52001953;6.817352823;0;0;0
246;2008/09/03;Antioquia;29156729.11;8442000;0;1220400000;-75.52001953;6.817352823;0;4.317;0
247;2008/09/04;Antioquia;28794728.11;8447000;0;1220486400;-75.52001953;6.817352823;0;0;0
248;2008/09/05;Antioquia;28962764.85;8485000;0;1220572800;-75.52001953;6.817352823;0;0;0
249;2008/09/06;Antioquia;27293273.19;8139000;0;1220659200;-75.52001953;6.817352823;0;0;0
250;2008/09/07;Antioquia;23216727.9;7420000;0;1220745600;-75.52001953;6.817352823;0;0;0
251;2008/09/08;Antioquia;28645597.76;8566000;0;1220832000;-75.52001953;6.817352823;0;7.047;0
252;2008/09/09;Antioquia;29249141.48;8425000;0;1220918400;-75.52001953;6.817352823;0;0.107;0.1
253;2008/09/10;Antioquia;29143998.24;8527000;0;1221004800;-75.52001953;6.817352823;0;0;0.1
254;2008/09/11;Antioquia;29355690.35;8648000;0;1221091200;-75.52001953;6.817352823;0;0;0
255;2008/09/12;Antioquia;29356451.96;8637000;0;1221177600;-75.52001953;6.817352823;0;0;0
256;2008/09/13;Antioquia;27800382.8;8038000;0;1221264000;-75.52001953;6.817352823;0;0;0
257;2008/09/14;Antioquia;23817594.29;7440000;0;1221350400;-75.52001953;6.817352823;0;0;0
258;2008/09/15;Antioquia;29005697.53;8452000;0;1221436800;-75.52001953;6.817352823;0;0;0
259;2008/09/16;Antioquia;29470833.44;8623000;0;1221523200;-75.52001953;6.817352823;0;0;0
260;2008/09/17;Antioquia;29514913.14;8467000;0;1221609600;-75.52001953;6.817352823;0;0;0
261;2008/09/18;Antioquia;29484020.51;8614000;0;1221696000;-75.52001953;6.817352823;0;0.502;0
262;2008/09/19;Antioquia;29594200.35;8482000;0;1221782400;-75.52001953;6.817352823;0;0;0
